station,date,value
21FLCOBS_WQX-CBS 19,2013-07-23,77.4
21FLCOBS_WQX-CBS 19,2013-08-27,86.3
21FLCOBS_WQX-CBS 19,2013-09-26,98.1
21FLCOBS_WQX-CBS 19,2013-10-29,192.0
21FLCOBS_WQX-CBS 19,2013-11-26,250.0
21FLCOBS_WQX-CBS 19,2014-01-21,254.0
21FLCOBS_WQX-CBS 19,2014-02-25,255.0
21FLCOBS_WQX-CBS 19,2014-03-25,254.0
21FLCOBS_WQX-CBS 19,2014-05-29,254.0
21FLCOBS_WQX-CBS 19,2014-08-27,97.4
21FLCOBS_WQX-CBS 19,2014-09-22,95.5
21FLCOBS_WQX-CBS 19,2014-10-22,131.0
21FLCOBS_WQX-CBS 19,2014-11-24,228.0
21FLCOBS_WQX-CBS 19,2014-12-17,259.0
21FLCOBS_WQX-CBS 19,2015-01-15,254.0
21FLCOBS_WQX-CBS 19,2015-02-12,264.0
21FLCOBS_WQX-CBS 19,2015-03-24,261.0
21FLCOBS_WQX-CBS 19,2015-04-21,361.0
21FLCOBS_WQX-CBS 19,2015-05-28,268.0
21FLCOBS_WQX-CBS 19,2015-06-25,288.0
21FLCOBS_WQX-CBS 19,2015-07-21,242.0
21FLCOBS_WQX-CBS 19,2015-08-25,82.0
21FLCOBS_WQX-CBS 19,2015-09-10,91.5
21FLCOBS_WQX-CBS 19,2015-11-30,200.0
21FLCOBS_WQX-CBS 19,2015-12-10,196.0
21FLCOBS_WQX-CBS 19,2016-01-14,228.0
21FLCOBS_WQX-CBS 19,2016-03-17,206.0
21FLCOBS_WQX-CBS 19,2016-04-14,274.0
21FLCOBS_WQX-CBS 19,2016-05-17,263.0
21FLCOBS_WQX-CBS 19,2016-06-14,80.0
21FLCOBS_WQX-CBS 19,2016-07-21,129.0
21FLCOBS_WQX-CBS 19,2016-08-18,98.5
21FLCOBS_WQX-CBS 19,2016-09-22,109.0
21FLCOBS_WQX-CBS 19,2016-10-20,143.0
21FLCOBS_WQX-CBS 19,2016-11-17,248.0
21FLCOBS_WQX-CBS 19,2016-12-19,248.0
21FLCOBS_WQX-CBS 21,2015-05-28,1186.0
21FLCOBS_WQX-CBS 21,2015-06-25,452.0
21FLCOBS_WQX-CBS 21,2015-07-21,366.0
21FLCOBS_WQX-CBS 21,2015-08-25,255.0
21FLCOBS_WQX-CBS 21,2015-09-10,321.0
